Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,NTG_Slope
15_9-F-5,3491.026852,-0.48173092736718376,-0.3206908168793343,0.4321852301226915,-0.0635412203422596,1.3183021890898023,-1.0662025375774236,0.38874136733349357,1.188168936893091,-0.6582890653997431,-0.19232961480609773,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3491.179252,-0.47478713457327815,-0.3128825380453609,0.6559907296158087,0.09803003886270724,1.0351399959235947,-1.166492229026489,0.013734112320627068,1.174330223987076,-0.7329496236239698,-0.20432017850376125,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3491.331652,-0.44248031087427103,-0.2773904867175443,0.7866548127327377,0.2186681414215593,1.3375461485023823,-1.0662025375774236,-0.20417530092866984,1.1960769451179776,-0.7726728747453497,-0.23046095493992216,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3491.484052,-0.42779237081714255,-0.261064172636159,0.9397865523556724,0.5287691777999226,0.9994012534309308,-1.0641761679413368,-0.19043427850826225,1.0952513674580306,-0.8090459861118681,-0.2697283909033081,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3491.636452,-0.377861072346318,-0.20640629178250386,0.8018598699049683,0.6965186228013422,0.9829060854700092,-0.9669272415025207,-0.01152567174238438,1.0260578029279572,-0.7650153939884901,-0.32222743710314744,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3491.788852,-0.2397004380934978,-0.05450026155872758,0.7215664483977647,0.8266328908303342,0.6227676422811588,-0.9649008718664339,0.1462659388286144,0.9212782310404038,-0.7310352546312384,-0.40997364395212255,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3491.941252,-0.022762396653354274,0.18116711229982224,0.5371890185275708,0.3496866402175678,0.5237982565134432,-0.8615728263891801,-0.11225977182818113,0.8224299569242152,-0.6573318641526068,-0.4754666357996517,1.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3492.093652,0.11548843233239987,0.3337832112673385,0.7435910474032817,0.22029627331976787,1.142356965671771,-0.64782806324654,-0.4165841211077508,0.8580153711914577,-0.728163717892912,-0.4940914345214756,1.0,3.0,0,0,0,1,0,1.252962858160045
15_9-F-5,3492.246052,0.2164163773758527,0.44380850933719274,0.9593614683347376,0.12429196099779947,0.6887471044993564,-0.06838000080946129,-0.8367270796561299,0.34004997593585656,-0.7520933661965616,-0.5145302389486994,1.0,0.0,1,0,0,0,0,2.5207880916360677
15_9-F-5,3492.398452,0.3110709145593855,0.5488651504937657,1.2313252768009195,0.08228312649555825,0.5402934244743648,0.7481100633253781,-0.9948072111126866,-0.25501728861982387,-0.7798517907731496,-0.5242407870646144,1.0,0.0,1,0,0,0,0,3.7886133251120904
