Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness
15_9-F-4,3253.587648,-0.623626133,0.467507741,0.154924038,-0.212927833,0.798148701,0.461422266,-0.61200519,-0.108846035,0.436595207,-0.969307173,0,2,-0.247142763,-0.029887387,5.66369939,-3.079644545,-0.082088638,-0.00953609,-0.618933495,-0.343793815,0.593761314,-0.004134061,-0.279894172,-0.420756437
15_9-F-4,3253.740048,-0.516565839,0.453686619,0.130984245,-0.699079081,0.798500318,0.565906345,-0.527043093,-0.086638166,0.730923537,-0.992632088,0,2,-0.247142763,-0.029887387,5.66369939,-3.079644545,-0.082088638,-0.00953609,-0.583256496,-0.945037187,0.644279282,-0.004134061,-0.6661277,-0.420756437
15_9-F-4,3253.892448,-0.512716436,0.411679062,0.363199774,-0.828665172,0.775385528,0.544740041,-0.524035645,-0.037977082,0.867213439,-0.99150798,0,2,-0.247142763,-0.029887387,5.66369939,-3.079644545,-0.082088638,-0.00953609,-0.509270794,-1.457980733,0.279581539,-0.004134061,-0.748000275,-0.420756437
15_9-F-4,3254.044848,-0.616461658,0.435078724,0.154924038,-0.90915562,0.763075363,0.470320417,-0.605990181,0.066761773,0.865763734,-0.999938683,0,2,-0.247142763,-0.029887387,5.66369939,-3.079644545,-0.082088638,-0.00953609,-0.460922766,-1.434809958,-0.131217867,-0.004134061,-0.651784521,-0.420756437
15_9-F-4,3254.197248,-0.714044246,0.445833158,0.257864895,-0.91237378,0.771850126,0.400925874,-0.683433604,0.215927959,0.893311516,-1.006402192,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.438204813,-1.274579366,-0.331614192,-0.004134061,-0.23216284,-0.420756437
15_9-F-4,3254.349648,-0.720868713,0.439405514,0.018467323,-0.839935444,0.748491422,0.33558861,-0.688696721,0.154674071,0.790369303,-0.995442325,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.426240436,-0.997069409,0.890946556,-0.004134061,0.161963055,-0.420756437
15_9-F-4,3254.502048,-0.659223842,0.433084515,0.274622645,-0.750592658,0.7525328,0.353825331,-0.639824665,0.079051097,0.797618682,-0.993475132,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.413593886,-0.709944887,0.954448994,-0.004134061,0.402267812,-0.420756437
15_9-F-4,3254.654448,-0.715665303,0.412145013,0.248288853,-0.792446008,0.74776531,0.499624658,-0.684185489,0.164783259,0.816467177,-0.988978771,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.395475596,-0.424352736,1.098504799,-0.004134061,0.268524954,-0.420756437
15_9-F-4,3254.806848,-0.739787763,0.410480272,-0.163474621,-0.776349454,0.716947128,0.609207687,-0.703734293,0.127198492,0.70772529,-0.978580959,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.369946047,-0.050660501,1.226885422,-0.004134061,-0.082871134,-0.420756437
15_9-F-4,3254.959248,-0.916507421,0.425466612,-0.036593947,-0.782787689,0.731390832,0.577746234,-0.842831556,0.463164232,0.742522668,-0.988416759,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.371011286,0.380314895,1.176026268,-0.004134061,-0.402653794,-0.420756437
