Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4
15_9-F-4,3261.055249,-0.604685138,-0.709684039,0.226502491,0.653488748,-0.490637638,0.401658496,0.22262123,-0.314326134,-0.399369983,-0.199103104,0,0,0,0,1,0
15_9-F-4,3261.207649,-0.659987684,-0.754404074,0.061163839,0.827685169,0.045446441,-0.097758759,0.132756172,0.173984848,-0.389319564,0.083946782,0,0,0,1,0,0
15_9-F-4,3261.360049,-0.714540724,-0.79841426,0.151922431,0.653411492,0.284622335,-0.634657861,0.213354463,0.602986668,-0.490781379,0.543602483,0,0,0,1,0,0
15_9-F-4,3261.512449,-0.697569972,-0.784217399,0.26770082,0.503330014,0.284622335,-0.912224865,0.398195342,0.788821807,-0.562091797,0.684919393,0,0,0,1,0,0
15_9-F-4,3261.664849,-0.578403391,-0.689098604,0.272749045,0.500607517,0.345103829,-1.087475817,0.655191457,0.923255515,-0.575970955,0.442544706,0,0,0,1,0,0
15_9-F-4,3261.817249,-0.502528656,-0.628052249,0.294917413,0.493597063,0.397337712,-1.123945679,0.899153533,0.962794943,-0.58745725,0.278346496,0,0,0,1,0,0
15_9-F-4,3261.969649,-0.44847733,-0.584751918,0.310005599,0.451567384,0.369846169,-1.200935721,1.140776618,1.006287792,-0.597029066,0.188890581,0,0,0,1,0,0
15_9-F-4,3262.122049,-0.456114405,-0.5911405,0.319128065,0.434543508,0.444073215,-1.184727165,1.312266304,1.016173084,-0.601336412,0.212362038,0,0,0,1,0,0
15_9-F-4,3262.274449,-0.433755527,-0.572684618,0.310354365,0.433756594,0.213144492,-1.260702812,1.257820887,1.000357088,-0.596071937,0.155350127,0,0,0,0,1,0
15_9-F-4,3262.426849,-0.517132099,-0.640119549,0.301335651,0.426435685,0.292869946,-1.2880552,1.238884307,1.041873226,-0.597507669,0.378763479,0,0,0,0,1,0
15_9-F-4,3262.579249,-0.550723899,-0.666383709,0.289194952,0.414020941,0.356100205,-1.299196622,1.231768223,1.067573942,-0.595593334,0.496751065,0,0,0,0,1,0
15_9-F-4,3262.731649,-0.686551195,-0.775699265,0.281909161,0.400474027,0.622767642,-1.325537037,1.223526693,1.162468222,-0.603250814,1.137128814,0,0,0,0,1,0
15_9-F-4,3262.884049,-0.658184117,-0.752984369,0.271655905,0.392496105,0.281873159,-1.231326464,1.255482996,1.000357088,-0.584107038,0.790528708,0,0,0,0,1,0
15_9-F-4,3263.036449,-0.569689788,-0.682000174,0.269661788,0.374478957,0.383591748,-1.158389161,1.264951286,0.98256438,-0.5802783,0.471296573,0,0,0,0,1,0
15_9-F-4,3263.188849,-0.483827653,-0.613145532,0.275442648,0.366597196,0.331357838,-1.063164194,1.268502721,0.903485504,-0.573578021,0.193909935,0,0,0,0,1,0
15_9-F-4,3263.341249,-0.358945925,-0.513057868,0.259828344,0.355224781,0.353351001,-1.07937275,1.28510141,0.919301521,-0.566877741,-0.019416932,0,0,0,0,1,0
15_9-F-4,3263.493649,-0.34186251,-0.498861114,0.248509712,0.337377333,0.806960862,-1.11989293,1.286212541,1.077458641,-0.576928161,0.032707702,0,0,0,0,1,0
15_9-F-4,3263.646049,-0.337579078,-0.496021698,0.246841256,0.334044111,0.834451993,-1.158389161,1.25669544,1.111067364,-0.579321166,0.043449369,0,0,0,0,1,0
15_9-F-4,3263.798449,-0.241712667,-0.418648929,0.244870053,0.330403703,0.37809334,-1.112801837,1.279096457,0.94895623,-0.561613194,-0.157568823,0,0,0,0,1,0
15_9-F-4,3263.950849,-0.284333697,-0.452721368,0.242641615,0.327327794,0.798713278,-1.085451859,1.180772928,1.051758518,-0.571185082,-0.065598739,0,0,0,0,1,0
15_9-F-4,3264.103249,-0.127404333,-0.327079398,0.232132188,0.312514199,0.37809334,-0.883860502,1.095584752,0.796729222,-0.538162077,-0.299148915,0,0,0,0,1,0
15_9-F-4,3264.255649,-0.244412266,-0.420778489,0.220832712,0.316799827,0.017954897,-0.820040662,1.077772518,0.650434104,-0.519496971,-0.246313036,0,0,0,0,1,0
15_9-F-4,3264.408049,-0.140198619,-0.337726987,0.211965267,0.312736185,0.05919202,-0.626554783,0.955632905,0.531815819,-0.499874592,-0.34283269,0,0,0,0,1,0
15_9-F-4,3264.560449,-0.134635587,-0.332758117,0.211332095,0.312389851,-0.075516108,-0.554629465,0.706995048,0.444829251,-0.488866972,-0.360277635,0,0,0,0,1,0
15_9-F-4,3264.712849,-0.133001121,-0.331338412,0.200477728,0.303181694,0.427578047,-0.419898703,0.538854172,0.500184399,-0.490781379,-0.352218304,0,0,0,0,1,0
15_9-F-4,3264.865249,-0.122624778,-0.323530233,0.192544441,0.306404603,0.416581672,-0.28314157,0.440630854,0.405289823,-0.474987743,-0.372218316,0,0,0,0,1,0
15_9-F-4,3265.017649,-0.098654117,-0.304364503,0.177215575,0.302281342,-0.188231073,-0.358105243,0.434727214,0.282717821,-0.451058094,-0.399112668,0,0,0,0,1,0
15_9-F-4,3265.170049,0.012931827,-0.214924426,0.150296635,0.304266576,0.587028927,-0.496886333,0.440630854,0.597055667,-0.475944944,-0.403184544,0,0,0,0,1,0
15_9-F-4,3265.322449,0.038007397,-0.194338992,0.143476686,0.296010793,0.435825631,-0.820040662,0.484597063,0.7710291,-0.492695714,-0.391439753,0,0,0,0,1,0
15_9-F-4,3265.474849,0.071751528,-0.167365082,0.146851404,0.304718645,0.504554297,-0.984147772,0.701394243,0.899532103,-0.508489279,-0.388292859,0,0,0,0,1,0
15_9-F-4,3265.627249,0.029519226,-0.201437422,0.139420928,0.285728324,0.548540596,-1.044929258,0.921540234,0.952909651,-0.511360887,-0.361314225,0,0,0,0,1,0
15_9-F-4,3265.779649,0.001169133,-0.224152424,0.136538527,0.284633416,0.334107041,-1.000356328,1.010395474,0.861969385,-0.500831798,-0.361744024,0,0,0,0,1,0
