scenario_id,v7_combo_name,v7_rank,v7_cv_score,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,final_rank
V7_Rank_17_custom_sand,V7_Rank_17,17,0.4721955868047023,custom_sand,11,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_2', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.4773211708981916,0.05616522896134681,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 03:46:27,22
V7_Rank_15_custom_sand,V7_Rank_15,15,0.4733691993630657,custom_sand,11,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.47706394673889435,0.06277710174962822,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 02:58:57,23
V7_Rank_09_custom_sand,V7_Rank_09,9,0.4750658652135346,custom_sand,10,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4766649547794791,0.05225164848128222,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 00:53:38,24
V7_Rank_30_custom_sand,V7_Rank_30,30,0.4651713050964309,custom_sand,11,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4761236861315361,0.05126426888735181,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 08:26:56,25
V7_Rank_28_custom_sand,V7_Rank_28,28,0.4651749750198835,custom_sand,10,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_2', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.4744015167838334,0.06201735136751198,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 07:38:50,26
V7_Rank_24_custom_sand,V7_Rank_24,24,0.4665125352497669,custom_sand,5,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Serration']",0.47400035251150324,0.08723018371978883,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 06:14:16,27
V7_Rank_16_custom_sand,V7_Rank_16,16,0.4711419089758227,custom_sand,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.4730488367414715,0.07752359887328962,"{'classifier__max_depth': 15, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 03:23:15,28
V7_Rank_21_custom_sand,V7_Rank_21,21,0.4684894255666902,custom_sand,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Serration', 'OppositionIndex', 'NTG_Slope']",0.47303485999992306,0.08421475287156442,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 05:13:54,29
V7_Rank_25_custom_sand,V7_Rank_25,25,0.4665820120343525,custom_sand,8,"['VSH', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4696938426002983,0.035109201430806876,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 06:32:41,30
V7_Rank_11_f1_weighted,V7_Rank_11,11,0.4725450581774261,f1_weighted,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.4636762812592181,0.05442961752903917,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 01:49:23,31
V7_Rank_05_f1_weighted,V7_Rank_05,5,0.4751806811899124,f1_weighted,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.46269741520304397,0.06253816862284507,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 23:37:58,32
V7_Rank_04_f1_weighted,V7_Rank_04,4,0.4760838257180186,f1_weighted,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.4619959438507519,0.06118847885167484,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 23:16:09,33
V7_Rank_29_f1_weighted,V7_Rank_29,29,0.464487971480843,f1_weighted,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.4609634735850194,0.07000307000494116,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 08:14:10,34
V7_Rank_08_f1_weighted,V7_Rank_08,8,0.4751621232310986,f1_weighted,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4598348298413557,0.062793355136076,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 00:41:12,35
V7_Rank_19_f1_weighted,V7_Rank_19,19,0.4709141136927121,f1_weighted,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.45859174335391817,0.07367937337997156,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 04:36:15,36
V7_Rank_07_f1_weighted,V7_Rank_07,7,0.4749483309282719,f1_weighted,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.45854259654224633,0.05709429392181704,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 00:19:14,37
V7_Rank_02_f1_weighted,V7_Rank_02,2,0.4806724858470153,f1_weighted,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.4584059648437626,0.06221074191261575,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 22:36:15,38
V7_Rank_01_f1_weighted,V7_Rank_01,1,0.4823774367713182,f1_weighted,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.45835040932371485,0.060690303139792984,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 22:17:43,39
V7_Rank_23_f1_weighted,V7_Rank_23,23,0.4697221073265735,f1_weighted,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.45817597238857266,0.05519117894558948,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 06:05:34,40
V7_Rank_18_f1_weighted,V7_Rank_18,18,0.4705880419521006,f1_weighted,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.45795960617292236,0.06514906024718133,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 04:17:05,41
V7_Rank_20_f1_weighted,V7_Rank_20,20,0.471484492084681,f1_weighted,12,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.457676779850543,0.05034722825515911,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 05:03:51,42
V7_Rank_10_f1_weighted,V7_Rank_10,10,0.4748735842809529,f1_weighted,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4573411675741422,0.060360532466967924,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 01:27:27,43
V7_Rank_26_f1_weighted,V7_Rank_26,26,0.466758347768646,f1_weighted,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4569054679114766,0.06985348849869208,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 07:03:30,44
V7_Rank_12_f1_weighted,V7_Rank_12,12,0.4718929525202278,f1_weighted,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Serration', 'BaseSharpness']",0.4568163001045188,0.06705221361945123,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 02:07:22,45
V7_Rank_14_f1_weighted,V7_Rank_14,14,0.4725945718063787,f1_weighted,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.4567377979558205,0.06502040624635379,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 02:45:24,46
V7_Rank_13_f1_weighted,V7_Rank_13,13,0.4716621052065306,f1_weighted,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'RelPos', 'GR_Serration']",0.45660179778745824,0.10524952980780755,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 02:26:33,47
V7_Rank_03_f1_weighted,V7_Rank_03,3,0.4781763236089739,f1_weighted,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4564162414305817,0.06706000642209158,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 22:58:19,48
