Proportion_Facies_0,Proportion_Facies_1,Proportion_Facies_2,Proportion_Facies_3,Proportion_Facies_4,Proportion_Facies_5,Proportion_Facies_6,Well,Depth,True_Facies,HDG_Prediction,Max_Proportion,Vote_Agreement,Prediction_Entropy,HDG_Uncertainty,Prediction_Range,Normalized_Range
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.368448,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.520848,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.673248,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.825648,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.978048,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3253.130448,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3253.282848,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3253.435248,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3253.587648,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3253.740048,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.75,0.0,0.0,0.25,0.0,0.0,0.0,15_9-F-4,3253.892448,0,0,0.75,75.0,0.5623351444188083,0.25,2.0,0.2857142857142857
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3254.044848,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
